sl.no,source-text,plagiarized-text,label
0,Children smiling and waving at camera,The kids are frowning,0
1,A person on a horse jumps over a broken down airplane.,"A person is outdoors, on a horse.",1
2,Two women who just had lunch hugging and saying goodbye.,There are two woman in this picture.,1
3,A couple playing with a little boy on the beach.,A couple are playing with a young child outside.,1
4,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,A man and a soman are eating together at John's Pizza and Gyro.,0
5,"A woman is walking across the street eating a banana, while a man is following with his briefcase.","A woman eats a banana and walks across a street, and there is a man trailing behind her.",1
6,A skier slides along a metal rail.,A skier is near the rail.,1
7,Bicyclists waiting at an intersection.,The bicyclists ride through the mall on their bikes.,0
8,People waiting at a light on bikes.,There are some people outside.,1
9,a skateboarder skates in the pool.,A skater is in the pool.,1
10,A small girl with a necklace is swimming.,"	A fat girl is diving off the edge",0
11,A foreign family is walking along a dirt path next to the water.,The people are driving a car on the freeway.,0
12,Artificial intelligence is reshaping industries,AI is changing the landscape of various sectors.,0
13,Group of young women in dresses strolling on the sidewalk.,all the young girls won the first prize,0
14,One biker is running with their bike while another is riding around them.,People have bikes,1
15,three bikers stop in town.,There is a very angry dog.,0
16,A young man doing a trick on a skateboard down the stairs while being photographed.,A man being photographed while he does a trick on his skateboard down the stairs.,1
17,Four teenage boys are doing cannonballs into a swimming pool.,A group of young men are splashing a lot of water.,1
18,A car sinking in water.,A car is flooding.,1
19,Two ladies are reading through binders.,Some women are reading.,1
20,A woman and a child holding on to the railing while on trolley.,The people are not holding onto anything.,0
21,A guy performing a bicycle jump trick for an audience.,tony hawk is performing a skating trick,0
22,"One man sits inside and plays the banjo, there are trees behind him outside.",A male sitting indoors.,1
23,Two young girls are playing outside in a non-urban environment.,Two girls are playing outside.,1
24,Antarctica is the coldest continent on Earth.,Earth's coldest continent is Antarctica.,1
25,Summer is the warmest season.,The warmest season is summer.,0
26,Adventures make life more exciting.,Life becomes more exciting through adventures.,0
27,The Milky Way galaxy is spiral-shaped.,A spiral shape describes the Milky Way galaxy.,1
28,The Amazon Rainforest produces 20% of the world's oxygen.,20% of the world's oxygen is produced by the Amazon Rainforest.,1
29,DNA is a double-helix structure.,A double-helix structure describes DNA.,1
30,Gardening provides a sense of accomplishment.,A sense of accomplishment is found in gardening.,0
31,The Pacific Ocean is larger than all the landmasses combined.,All landmasses combined are smaller than the Pacific Ocean.,1
32,Critical thinking is essential in decision making.,Decision making is improved by critical thinking.,0
33,Mount Everest is part of the Himalaya mountain range.,The Himalaya mountain range includes Mount Everest.,1
34,Playing musical instruments enhances creativity.,Creativity is enhanced by playing musical instruments.,0
35,The Sahara is the largest hot desert in the world.,The world's largest hot desert is the Sahara.,1
36,A healthy diet includes a variety of fruits and vegetables.,Eating a mix of fruits and vegetables is part of a healthy diet.,1
37,New York City is known for its bustling Times Square.,Times Square is a famous spot in New York City.,1
38,Shakespeare is regarded as one of the greatest playwrights in history.,One of history's greatest playwrights is Shakespeare.,1
39,This is a unique and original sentence.,This sentence is unique and original.,0
40,Paris is the capital of France.,France's capital city is Paris.,0
41,The Great Wall of China is one of the Seven Wonders of the World.,"Among the Seven Wonders, the Great Wall of China stands out.",1
42,JavaScript is popular for front-end development.,Front-end development is popular for JavaScript.,0
43,Elephants are the largest land animals on Earth.,The largest land animals on Earth are elephants.,1
44,Bananas are rich in potassium.,Potassium is rich in bananas.,0
45,The Great Barrier Reef is the world's largest coral reef system.,The largest coral reef system in the world is the Great Barrier Reef.,1
46,Bacteria can reproduce rapidly under ideal conditions.,"Under ideal conditions, bacteria can reproduce quickly.",1
47,The Earth's crust is made up of tectonic plates.,Tectonic plates make up the Earth's crust.,1
48,History helps us understand our present.,Understanding our present is aided by history.,0
49,Time management is crucial for productivity.,Productivity relies on effective time management.,0
50,Balanced diets contribute to overall wellness.,Overall wellness is enhanced by balanced diets.,0
51,Art can express complex emotions.,Complex emotions are expressed through art.,0
52,The Great Barrier Reef is located off the coast of Australia.,Off the coast of Australia is the Great Barrier Reef.,1
53,Venus has a day longer than its year.,A day on Venus is longer than its year.,1
54,Sharks have been around for over 400 million years.,"For over 400 million years, sharks have existed.",1
55,The human brain is protected by the skull.,The skull protects the human brain.,1
56,Albert Einstein's theory of relativity revolutionized physics.,Physics was revolutionized by Albert Einstein's theory of relativity.,1
57,DNA carries genetic information.,Genetic information is carried by DNA.,1
58,Creative hobbies can reduce stress.,Engaging in creative hobbies lowers stress levels.,0
59,The Leaning Tower of Pisa leans due to unstable foundation.,Unstable foundation causes the Leaning Tower of Pisa to lean.,1
60,Art can express complex emotions.,Complex emotions are expressed through art.,0
61,Sustainable practices protect our environment.,Our environment is protected by sustainable practices.,0
62,Critical thinking is essential in decision making.,Decision making is improved by critical thinking.,0
63,Good habits form the basis of a successful life.,A successful life is built on good habits.,0
64,Florence Nightingale is known as the founder of modern nursing.,The founder of modern nursing is Florence Nightingale.,1
65,Electric cars produce zero emissions while driving.,"While driving, electric cars produce zero emissions.",1
66,The color of the sky is blue.,Blue is the color of the sky.,0
67,The Statue of Liberty is located in New York Harbor.,New York Harbor is where the Statue of Liberty stands.,1
68,Butter is made from milk.,Milk makes butter.,0
69,The Taj Mahal was built by Emperor Shah Jahan.,Emperor Shah Jahan built the Taj Mahal.,1
70,Spiders spin webs.,Webs are spun by spiders.,0
71,Honey never spoils and can last for thousands of years.,Honey can last for thousands of years without spoiling.,1
72,Apples are a type of fruit.,A type of fruit is apples.,0
73,The color of grass is green.,Green is the color of grass.,0
74,Rain falls from clouds.,"From clouds, rain falls.",0
75,Venus has a surface covered with volcanoes and lava plains.,Volcanoes and lava plains cover the surface of Venus.,1
76,Sharks have multiple rows of teeth.,Multiple rows of teeth are possessed by sharks.,1
77,The human eye can distinguish approximately 10 million colors.,About 10 million colors can be distinguished by the human eye.,1
78,Volunteering builds a sense of purpose.,A sense of purpose is built through volunteering.,0
79,Swimming provides a full-body workout.,A full-body workout is provided by swimming.,0
80,Cycling improves cardiovascular health.,Cardiovascular health is improved by cycling.,0
81,The Milky Way is part of the Local Group of galaxies.,The Local Group of galaxies includes the Milky Way.,1
82,Saturn's largest moon is Titan.,Titan is Saturn's largest moon.,1
83,The Great Barrier Reef is located off the coast of Australia.,Off the coast of Australia is the Great Barrier Reef.,1
84,Cultural diversity enriches communities.,Communities are enriched by cultural diversity.,0
85,Mindfulness practices improve focus.,Focus is improved by mindfulness practices.,0
86,Positive feedback boosts confidence.,Confidence is boosted by positive feedback.,0
87,Scientific research drives innovation.,Innovation is driven by scientific research.,0
88,Studying regularly improves academic performance.,Academic performance improves with regular studying.,0
89,The human eye can distinguish approximately 10 million colors.,About 10 million colors can be distinguished by the human eye.,1
90,The Leaning Tower of Pisa is located in Italy.,Italy is home to the Leaning Tower of Pisa.,1
91,Public speaking skills are valuable.,Valuable skills include public speaking.,0
92,Saturn's rings are made of ice and rock.,Ice and rock make up Saturn's rings.,1
93,Art can express complex emotions.,Complex emotions are expressed through art.,0
94,Thomas Edison invented the phonograph.,The phonograph was invented by Thomas Edison.,1
95,Effective communication prevents misunderstandings.,Misunderstandings are prevented by effective communication.,0
96,Florence Nightingale is known as the founder of modern nursing.,The founder of modern nursing is Florence Nightingale.,1
97,Hiking connects people with nature.,Nature connections are made through hiking.,0
98,Learning to code develops logical thinking.,Logical thinking is developed by learning to code.,0
99,Reading science fiction stimulates imagination.,Imagination is stimulated by reading science fiction.,0
100,Knitting can be a soothing activity.,Soothing effects can be found in knitting.,0
